311202619435, 14, "Stanley #2 flat screwdriver", 6.95, 2, 0.0, 13.90, January 31, 2026, 7:04:35 PM EST
311202619435, 85456, "Campagnolo 12 spd rear der", 350.0, 1, 0.0, 350.00, January 31, 2026, 7:04:35 PM EST

311202619615, 556622, "Trek Madone SRL Gen 8 frameset", 5500.0, 3, 0.0, 16500.00, January 31, 2026, 7:06:15 PM EST
311202619615, 268, "Sidi Wire 2 carbon shoes - size 48", 499.99, 2, 0.0, 999.98, January 31, 2026, 7:06:15 PM EST

122026194712, 14, "Stanley #2 flat screwdriver", 6.95, 2, 0.0, 13.90, February 01, 2026, 7:47:12 PM EST
122026194712, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 25, 0.2, 179.80, February 01, 2026, 7:47:12 PM EST
122026194712, 3030BX, "3030 aluminum extrusion 1500mm black", 35.0, 4, 0.0, 140.00, February 01, 2026, 7:47:12 PM EST
122026194712, 22389, "Swingline Model B2200 Red stapler", 18.0, 5, 0.1, 81.00, February 01, 2026, 7:47:12 PM EST
122026194712, 2234983, "Wilson NCAA official softball - 1 doz", 55.0, 5, 0.1, 247.50, February 01, 2026, 7:47:12 PM EST

12202619553, 65435689, "12x16 paper cutter with ruler", 35.95, 1, 0.0, 35.95, February 01, 2026, 7:55:03 PM EST
12202619553, 298765, "3x5 index cards - 100 count", 2.25, 2, 0.0, 4.50, February 01, 2026, 7:55:03 PM EST
12202619553, 387, "Brachs butterscotch hard candy - 1 lb", 4.5, 12, 0.15, 45.90, February 01, 2026, 7:55:03 PM EST
12202619553, 14909, "1/4in - 28tpi SS nuts", 1.0, 4, 0.0, 4.00, February 01, 2026, 7:55:03 PM EST

122026195921, 67913, "Gios Torino t-shirt size XXL", 25.0, 1, 0.0, 25.00, February 01, 2026, 7:59:21 PM EST
122026195921, 22345532, "3 ft mini USB cable M-F", 4.5, 24, 0.2, 86.40, February 01, 2026, 7:59:21 PM EST
122026195921, 234887, "2025 CSX train calendar", 12.95, 2, 0.0, 25.90, February 01, 2026, 7:59:21 PM EST
122026195921, 38712987, "Wilson NCAA official softball - 1 ea", 5.5, 12, 0.15, 56.10, February 01, 2026, 7:59:21 PM EST

12202620025, 3451, "Oakley Jawbreaker sunglasses", 236.0, 3, 0.0, 708.00, February 01, 2026, 8:00:25 PM EST
12202620025, 22389, "Swingline Model B2200 Red stapler", 18.0, 4, 0.0, 72.00, February 01, 2026, 8:00:25 PM EST
12202620025, 2, "Tamiya 2oz paint - ferrari red", 2.39, 4, 0.0, 9.56, February 01, 2026, 8:00:25 PM EST
12202620025, 4762, "HP copy paper ultra white - ream", 13.5, 5, 0.1, 60.75, February 01, 2026, 8:00:25 PM EST
12202620025, 115694, "Colnago V3RS - UAE frame", 8500.0, 2, 0.0, 17000.00, February 01, 2026, 8:00:25 PM EST

